imdb_id,date
tt0462538,2007-07-26
tt0106977,1993-08-06
tt1663202,2015-12-25
tt0240772,2001-12-07
tt0112462,1995-06-16
tt0177971,2000-06-26
tt0119528,1997-03-21
tt0443272,2012-11-09
tt0207201,2000-12-15
tt0163025,2001-07-18
tt0478970,2015-07-14
tt0800369,2011-04-21
tt0479952,2008-10-30
tt0133152,2001-07-25
tt0458525,2009-04-28
tt0087469,1984-05-23
tt1409024,2012-05-23
tt0117060,1996-05-22
tt0092099,1986-05-16
tt0386588,2005-02-11
tt0100405,1990-03-23
tt2224026,2015-03-18
tt0084805,1982-12-16
tt1646971,2014-06-09
tt0129387,1998-07-15
tt1318514,2011-08-03
tt1155076,2010-06-10
tt1078912,2009-05-20
tt0268380,2002-03-10
tt0458339,2011-07-22
tt3874544,2017-03-23
tt6857112,2019-03-14
tt4116284,2017-02-08
tt5052448,2017-02-24
tt0372183,2004-07-23
tt6806448,2019-08-01
tt0319343,2003-10-09
tt3104988,2018-08-15
tt1485796,2017-12-20
tt0090555,1986-09-26
tt0368891,2004-11-19
tt0118571,1997-07-25
tt0104431,1992-11-19
tt0095953,1988-12-11
tt0112384,1995-06-30
tt1790809,2017-05-23
tt0133093,1999-03-30
tt1104001,2010-12-10
tt1403865,2010-12-22
tt5028340,2018-12-13
tt0299658,2002-12-26
tt6146586,2019-05-15
tt0268978,2001-12-11
tt0120855,1999-06-18
tt1454029,2011-08-09
tt0830515,2008-10-30
tt4846340,2016-12-10
tt2510894,2015-09-21
tt0486946,2007-03-02
tt1478338,2011-05-13
tt0094137,1987-11-27
tt3731562,2017-03-08
tt5220122,2018-06-28
tt2267998,2014-10-01
tt0381061,2006-11-14
tt2322441,2015-02-11
tt8946378,2019-11-27
tt1190080,2009-10-10
tt0102798,1991-06-14
tt0212338,2000-10-06
tt0454921,2006-12-14
tt0264464,2002-12-25
tt0212985,2001-02-08
tt1302011,2011-05-25
tt1041829,2009-06-01
tt0800320,2010-04-01
tt2279373,2015-01-28
tt0120623,1998-11-25
tt1853728,2012-12-25
tt0142342,1999-06-25
tt4196776,2016-07-27
tt1375670,2010-06-24
tt0103776,1992-06-19
tt1667889,2012-06-26
tt0120484,1998-11-06
tt0307453,2004-09-20
tt0246460,2002-11-17
tt1398426,2015-08-13
tt2404463,2013-06-27
tt2386490,2019-01-03
tt0059742,1965-03-29
tt4123430,2018-11-14
tt1502407,2018-10-18
tt5113040,2019-05-24
tt8579674,2019-12-25
tt0106918,1993-06-30
tt0398165,2005-05-27
tt2660888,2016-07-07
tt0175142,2000-07-07
tt0120903,2000-07-13
tt0096438,1988-06-21
tt0161081,2000-07-21
tt0093010,1987-09-11
tt0070735,1973-12-25
tt1735898,2012-05-30
tt3385516,2016-05-18
tt2126355,2015-05-27
tt1013752,2009-04-02
tt0327084,2006-05-17
tt0120616,1999-04-16
tt0116695,1996-12-13
tt0451079,2008-03-03
tt1392190,2015-05-13
tt0120667,2005-06-29
tt1679335,2016-10-13
tt1000774,2008-05-12
tt3606752,2017-06-15
tt0092644,1987-05-18
tt0087363,1984-06-07
tt0267913,2002-06-14
tt1840309,2014-03-14
tt3783958,2016-11-29
tt0163187,1999-07-30
tt0089880,1985-05-21
tt1723121,2013-08-07
