imdb_id,title,year,director,production_co,rank,budget_usd,us_gross,revenue,popular
tt2395427,Avengers: Age of Ultron,2015,Joss Whedon,Marvel Studios,949,250000000.0,459000000.0,209000000.0,True
tt1345836,The Dark Knight Rises,2012,Christopher Nolan,Warner Bros.,432,250000000.0,448000000.0,198000000.0,True
tt0298148,Shrek 2,2004,Andrew Adamson,DreamWorks,2812,150000000.0,441000000.0,291000000.0,False
tt0083866,E.T. the Extra-Terrestrial,1982,Steven Spielberg,Universal Pictures,1260,10000000.0,435000000.0,425000000.0,True
tt1979376,Toy Story 4,2019,Josh Cooley,Pixar Animation Studios,207,200000000.0,434000000.0,234000000.0,True
tt4154664,Captain Marvel,2019,Anna Boden,Walt Disney Pictures,405,175000000.0,427000000.0,252000000.0,True
tt1951264,The Hunger Games: Catching Fire,2013,Francis Lawrence,Color Force,1416,130000000.0,425000000.0,295000000.0,True
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006,Gore Verbinski,Walt Disney Pictures,1567,225000000.0,423000000.0,198000000.0,True
tt0110357,The Lion King,1994,Roger Allers,Walt Disney Pictures,565,45000000.0,423000000.0,378000000.0,True
tt4881806,Jurassic World: Fallen Kingdom,2018,J.A. Bayona,Universal Pictures,756,170000000.0,418000000.0,248000000.0,True
tt0435761,Toy Story 3,2010,Lee Unkrich,Walt Disney Pictures,1588,200000000.0,415000000.0,215000000.0,True
tt0451279,Wonder Woman,2017,Patty Jenkins,Warner Bros.,345,149000000.0,413000000.0,264000000.0,True
tt1300854,Iron Man 3,2013,Shane Black,Marvel Studios,965,200000000.0,409000000.0,209000000.0,True
tt3498820,Captain America: Civil War,2016,Anthony Russo,Marvel Studios,1046,250000000.0,408000000.0,158000000.0,True
tt1392170,The Hunger Games,2012,Gary Ross,Lionsgate,523,78000000.0,408000000.0,330000000.0,True
tt0145487,Spider-Man,2002,Sam Raimi,Columbia Pictures,940,139000000.0,407000000.0,268000000.0,True
tt2283362,Jumanji: Welcome to the Jungle,2017,Jake Kasdan,Columbia Pictures,190,90000000.0,405000000.0,315000000.0,True
tt0107290,Jurassic Park,1993,Steven Spielberg,Universal Pictures,352,63000000.0,403000000.0,340000000.0,True
tt1055369,Transformers: Revenge of the Fallen,2009,Michael Bay,DreamWorks,2323,200000000.0,402000000.0,202000000.0,True
tt2294629,Frozen,2013,Chris Buck,Walt Disney Animation Studios,546,150000000.0,401000000.0,251000000.0,True
tt6320628,Spider-Man: Far from Home,2019,Jon Watts,Columbia Pictures,272,160000000.0,391000000.0,231000000.0,True
tt3896198,Guardians of the Galaxy Vol. 2,2017,James Gunn,Marvel Studios,836,200000000.0,390000000.0,190000000.0,True
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,Warner Bros.,567,125000000.0,381000000.0,256000000.0,True
tt0266543,Finding Nemo,2003,Andrew Stanton,Pixar Animation Studios,1383,94000000.0,381000000.0,287000000.0,True
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,George Lucas,Lucasfilm,1358,113000000.0,380000000.0,267000000.0,True
tt0167260,The Lord of the Rings: The Return of the King,2003,Peter Jackson,New Line Cinema,596,94000000.0,378000000.0,284000000.0,True
tt0316654,Spider-Man 2,2004,Sam Raimi,Columbia Pictures,1892,200000000.0,374000000.0,174000000.0,True
tt0335345,The Passion of the Christ,2004,Mel Gibson,Icon Productions,1391,30000000.0,371000000.0,341000000.0,True
tt2709768,The Secret Life of Pets,2016,Chris Renaud,Universal Pictures,2707,75000000.0,368000000.0,293000000.0,True
tt1690953,Despicable Me 2,2013,Pierre Coffin,Universal Pictures,5517,76000000.0,368000000.0,292000000.0,False
tt3040964,The Jungle Book,2016,Jon Favreau,Fairview Entertainment,1430,175000000.0,364000000.0,189000000.0,True
tt1431045,Deadpool,2016,Tim Miller,Twentieth Century Fox,451,58000000.0,363000000.0,305000000.0,True
tt2096673,Inside Out,2015,Pete Docter,Pixar Animation Studios,910,175000000.0,356000000.0,181000000.0,True
tt6139732,Aladdin,2019,Guy Ritchie,Walt Disney Pictures,292,183000000.0,356000000.0,173000000.0,True
tt2820852,Furious 7,2015,James Wan,Universal Pictures,1401,190000000.0,353000000.0,163000000.0,True
tt1399103,Transformers: Dark of the Moon,2011,Michael Bay,Paramount Pictures,2523,195000000.0,352000000.0,157000000.0,True
tt2179136,American Sniper,2014,Clint Eastwood,Warner Bros.,1421,59000000.0,350000000.0,291000000.0,True
tt0167261,The Lord of the Rings: The Two Towers,2002,Peter Jackson,New Line Cinema,956,94000000.0,343000000.0,249000000.0,True
tt2948356,Zootopia,2016,Byron Howard,Walt Disney Pictures,821,150000000.0,341000000.0,191000000.0,True
tt1951265,The Hunger Games: Mockingjay - Part 1,2014,Francis Lawrence,Color Force,2342,125000000.0,337000000.0,212000000.0,True
tt0413300,Spider-Man 3,2007,Sam Raimi,Columbia Pictures,1876,258000000.0,337000000.0,79000000.0,True
tt2293640,Minions,2015,Kyle Balda,Illumination Entertainment,4165,74000000.0,336000000.0,262000000.0,False
tt7286456,Joker,2019,Todd Phillips,Warner Bros.,50,55000000.0,335000000.0,280000000.0,True
tt1477834,Aquaman,2018,James Wan,DC Comics,516,160000000.0,335000000.0,175000000.0,True
tt2250912,Spider-Man: Homecoming,2017,Jon Watts,Columbia Pictures,624,175000000.0,334000000.0,159000000.0,True
tt1014759,Alice in Wonderland,2010,Tim Burton,Walt Disney Pictures,1890,200000000.0,334000000.0,134000000.0,True
tt2015381,Guardians of the Galaxy,2014,James Gunn,Marvel Studios,448,170000000.0,333000000.0,163000000.0,True
tt0109830,Forrest Gump,1994,Robert Zemeckis,Paramount Pictures,222,55000000.0,330000000.0,275000000.0,True
tt2975590,Batman v Superman: Dawn of Justice,2016,Zack Snyder,Warner Bros.,752,250000000.0,330000000.0,80000000.0,True
tt1396484,It,2017,Andy Muschietti,New Line Cinema,283,35000000.0,329000000.0,294000000.0,True
tt1386697,Suicide Squad,2016,David Ayer,Atlas Entertainment,267,175000000.0,325000000.0,150000000.0,True
tt5463162,Deadpool 2,2018,David Leitch,Twentieth Century Fox,539,110000000.0,325000000.0,215000000.0,True
tt0413267,Shrek the Third,2007,Chris Miller,DreamWorks,4949,160000000.0,323000000.0,163000000.0,False
tt0418279,Transformers,2007,Michael Bay,DreamWorks,1407,150000000.0,319000000.0,169000000.0,True
tt0371746,Iron Man,2008,Jon Favreau,Paramount Pictures,894,140000000.0,319000000.0,179000000.0,True
tt0241527,Harry Potter and the Sorcerer's Stone,2001,Chris Columbus,Warner Bros.,280,125000000.0,318000000.0,193000000.0,True
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,2008,Steven Spielberg,Paramount Pictures,2134,185000000.0,317000000.0,132000000.0,True
tt7975244,Jumanji: The Next Level,2019,Jake Kasdan,Matt Tolmach Productions,37,125000000.0,317000000.0,192000000.0,True
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,New Line Cinema,336,93000000.0,316000000.0,223000000.0,True
tt3501632,Thor: Ragnarok,2017,Taika Waititi,Walt Disney Pictures,303,180000000.0,315000000.0,135000000.0,True
tt1228705,Iron Man 2,2010,Jon Favreau,Paramount Pictures,1559,200000000.0,312000000.0,112000000.0,True
tt0121765,Star Wars: Episode II - Attack of the Clones,2002,George Lucas,Lucasfilm,1490,115000000.0,311000000.0,196000000.0,True
tt0449088,Pirates of the Caribbean: At World's End,2007,Gore Verbinski,Walt Disney Pictures,1863,300000000.0,309000000.0,9000000.0,True
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,Richard Marquand,Lucasfilm,1570,32000000.0,309000000.0,277000000.0,True
tt0116629,Independence Day,1996,Roland Emmerich,Twentieth Century Fox,1882,75000000.0,306000000.0,231000000.0,True
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski,Walt Disney Pictures,618,140000000.0,305000000.0,165000000.0,True
tt1074638,Skyfall,2012,Sam Mendes,Metro-Goldwyn-Mayer (MGM),540,200000000.0,304000000.0,104000000.0,True
tt0903624,The Hobbit: An Unexpected Journey,2012,Peter Jackson,Metro-Goldwyn-Mayer (MGM),695,180000000.0,303000000.0,123000000.0,True
tt0417741,Harry Potter and the Half-Blood Prince,2009,David Yates,Warner Bros.,1252,250000000.0,302000000.0,52000000.0,True
tt1325004,The Twilight Saga: Eclipse,2010,David Slade,Summit Entertainment,2928,68000000.0,301000000.0,233000000.0,False
tt1259571,The Twilight Saga: New Moon,2009,Chris Weitz,Temple Hill Entertainment,3084,50000000.0,298000000.0,248000000.0,False
tt0926084,Harry Potter and the Deathly Hallows: Part 1,2010,David Yates,Warner Bros.,1158,175644028.1030445,296000000.0,120355971.89695549,True
tt0167404,The Sixth Sense,1999,M. Night Shyamalan,Hollywood Pictures,1301,40000000.0,294000000.0,254000000.0,True
tt1049413,Up,2009,Pete Docter,Pixar Animation Studios,1126,175000000.0,293000000.0,118000000.0,True
tt1375666,Inception,2010,Christopher Nolan,Warner Bros.,239,160000000.0,293000000.0,133000000.0,True
tt0373889,Harry Potter and the Order of the Phoenix,2007,David Yates,Warner Bros.,1332,150000000.0,292000000.0,142000000.0,True
tt1673434,The Twilight Saga: Breaking Dawn - Part 2,2012,Bill Condon,Summit Entertainment,1284,120000000.0,292000000.0,172000000.0,True
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Andrew Adamson,Walt Disney Pictures,1099,180000000.0,292000000.0,112000000.0,True
tt0770828,Man of Steel,2013,Zack Snyder,Warner Bros.,1132,225000000.0,291000000.0,66000000.0,True
tt0330373,Harry Potter and the Goblet of Fire,2005,Mike Newell,Warner Bros.,902,150000000.0,290000000.0,140000000.0,True
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner,Lucasfilm,1504,18000000.0,290000000.0,272000000.0,True
tt0198781,"Monsters, Inc.",2001,Pete Docter,Pixar Animation Studios,1265,115000000.0,290000000.0,175000000.0,True
tt0099785,Home Alone,1990,Chris Columbus,Hughes Entertainment,1460,18000000.0,286000000.0,268000000.0,True
tt1951266,The Hunger Games: Mockingjay - Part 2,2015,Francis Lawrence,Color Force,1934,160000000.0,282000000.0,122000000.0,True
tt0234215,The Matrix Reloaded,2003,Lana Wachowski,Warner Bros.,926,150000000.0,282000000.0,132000000.0,True
tt1324999,The Twilight Saga: Breaking Dawn - Part 1,2011,Bill Condon,Summit Entertainment,2636,110000000.0,281000000.0,171000000.0,True
tt0290002,Meet the Fockers,2004,Jay Roach,Universal Pictures,4927,80000000.0,279000000.0,199000000.0,False
tt1119646,The Hangover,2009,Todd Phillips,Warner Bros.,1111,35000000.0,277000000.0,242000000.0,True
tt1454468,Gravity,2013,Alfonso Cuarón,Warner Bros.,1922,100000000.0,274000000.0,174000000.0,True
tt2709692,Dr. Seuss' The Grinch,2018,Yarrow Cheney,Universal Pictures,5337,75000000.0,271000000.0,196000000.0,False
tt3470600,Sing,2016,Garth Jennings,Dentsu,1476,75000000.0,270000000.0,195000000.0,True
tt1453405,Monsters University,2013,Dan Scanlon,Walt Disney Pictures,2089,200000000.0,268000000.0,68000000.0,True
tt0126029,Shrek,2001,Andrew Adamson,DreamWorks Animation,1661,60000000.0,268000000.0,208000000.0,True
tt3469046,Despicable Me 3,2017,Kyle Balda,Illumination Entertainment,4100,80000000.0,265000000.0,185000000.0,False
tt0295297,Harry Potter and the Chamber of Secrets,2002,Chris Columbus,Warner Bros.,1077,100000000.0,262000000.0,162000000.0,True
tt0948470,The Amazing Spider-Man,2012,Marc Webb,Columbia Pictures,2332,230000000.0,262000000.0,32000000.0,True
tt0317705,The Incredibles,2004,Brad Bird,Pixar Animation Studios,1244,92000000.0,261000000.0,169000000.0,True
tt0170016,How the Grinch Stole Christmas,2000,Ron Howard,Universal Pictures,3852,123000000.0,260000000.0,137000000.0,False
tt0073195,Jaws,1975,Steven Spielberg,Zanuck/Brown Productions,1037,7000000.0,260000000.0,253000000.0,True
tt1843866,Captain America: The Winter Soldier,2014,Anthony Russo,Marvel Entertainment,1525,170000000.0,260000000.0,90000000.0,True
tt1170358,The Hobbit: The Desolation of Smaug,2013,Peter Jackson,Metro-Goldwyn-Mayer (MGM),1462,225000000.0,258000000.0,33000000.0,True
tt1490017,The Lego Movie,2014,Christopher Miller,Warner Bros.,3374,60000000.0,258000000.0,198000000.0,False
tt0796366,Star Trek,2009,J.J. Abrams,Paramount Pictures,1110,150000000.0,258000000.0,108000000.0,True
tt0480249,I Am Legend,2007,Francis Lawrence,Warner Bros.,670,150000000.0,256000000.0,106000000.0,True
tt0878804,The Blind Side,2009,John Lee Hancock,Alcon Entertainment,1190,29000000.0,256000000.0,227000000.0,True
tt2310332,The Hobbit: The Battle of the Five Armies,2014,Peter Jackson,New Line Cinema,870,250000000.0,255000000.0,5000000.0,True
tt1411697,The Hangover Part II,2011,Todd Phillips,Warner Bros.,4418,80000000.0,254000000.0,174000000.0,False
tt1323594,Despicable Me,2010,Pierre Coffin,Universal Pictures,3387,69000000.0,252000000.0,183000000.0,False
tt0096895,Batman,1989,Tim Burton,Warner Bros.,611,35000000.0,251000000.0,216000000.0,True
tt0477347,Night at the Museum,2006,Shawn Levy,Twentieth Century Fox,2322,110000000.0,251000000.0,141000000.0,True
tt0119654,Men in Black,1997,Barry Sonnenfeld,Columbia Pictures,889,90000000.0,251000000.0,161000000.0,True
tt0304141,Harry Potter and the Prisoner of Azkaban,2004,Alfonso Cuarón,Warner Bros.,1043,130000000.0,250000000.0,120000000.0,True
tt3521164,Moana,2016,Ron Clements,Hurwitz Creative,712,150000000.0,249000000.0,99000000.0,True
tt0082971,Raiders of the Lost Ark,1981,Steven Spielberg,Paramount Pictures,840,18000000.0,248000000.0,230000000.0,True
tt0120363,Toy Story 2,1999,John Lasseter,Pixar Animation Studios,2321,90000000.0,246000000.0,156000000.0,True
tt2109248,Transformers: Age of Extinction,2014,Michael Bay,Paramount Pictures,2775,210000000.0,245000000.0,35000000.0,False
tt0317219,Cars,2006,John Lasseter,Pixar Animation Studios,785,120000000.0,244000000.0,124000000.0,True
tt0315327,Bruce Almighty,2003,Tom Shadyac,Spyglass Entertainment,3335,81000000.0,243000000.0,162000000.0,False
tt0087332,Ghostbusters,1984,Ivan Reitman,Columbia Pictures,1109,30000000.0,243000000.0,213000000.0,True
tt0117998,Twister,1996,Jan de Bont,Warner Bros.,2198,92000000.0,242000000.0,150000000.0,True
tt0259446,My Big Fat Greek Wedding,2002,Joel Zwick,Gold Circle Films,4333,5000000.0,241000000.0,236000000.0,False
tt1587310,Maleficent,2014,Robert Stromberg,Jolie Pas,1259,180000000.0,241000000.0,61000000.0,True
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,Rob Marshall,Walt Disney Pictures,1659,250000000.0,241000000.0,-9000000.0,True
tt0892791,Shrek Forever After,2010,Mike Mitchell,DreamWorks Animation,4038,165000000.0,239000000.0,74000000.0,False
tt1905041,Fast & Furious 6,2013,Justin Lin,Universal Pictures,1906,160000000.0,239000000.0,79000000.0,True
tt1217209,Brave,2012,Mark Andrews,Walt Disney Pictures,1404,185000000.0,237000000.0,52000000.0,True
tt1623205,Oz the Great and Powerful,2013,Sam Raimi,Walt Disney Pictures,3402,215000000.0,235000000.0,20000000.0,False
tt0086960,Beverly Hills Cop,1984,Martin Brest,Paramount Pictures,2798,14000000.0,235000000.0,221000000.0,False
tt0376994,X-Men: The Last Stand,2006,Brett Ratner,Twentieth Century Fox,2431,210000000.0,234000000.0,24000000.0,True
tt0407304,War of the Worlds,2005,Steven Spielberg,Paramount Pictures,1488,132000000.0,234000000.0,102000000.0,True
tt3183660,Fantastic Beasts and Where to Find Them,2016,David Yates,Heyday Films,1370,180000000.0,234000000.0,54000000.0,True
tt1877832,X-Men: Days of Future Past,2014,Bryan Singer,Twentieth Century Fox,2002,200000000.0,234000000.0,34000000.0,True
tt0162222,Cast Away,2000,Robert Zemeckis,Twentieth Century Fox,644,90000000.0,234000000.0,144000000.0,True
tt0070047,The Exorcist,1973,William Friedkin,Warner Bros.,170,11000000.0,233000000.0,222000000.0,True
tt1211837,Doctor Strange,2016,Scott Derrickson,Marvel Studios,1040,165000000.0,233000000.0,68000000.0,True
tt0119567,The Lost World: Jurassic Park,1997,Steven Spielberg,Universal Pictures,1575,73000000.0,229000000.0,156000000.0,True
tt0974015,Justice League,2017,Zack Snyder,Warner Bros.,617,300000000.0,229000000.0,-71000000.0,True
tt1408101,Star Trek Into Darkness,2013,J.J. Abrams,Paramount Pictures,2090,190000000.0,229000000.0,39000000.0,True
tt3659388,The Martian,2015,Ridley Scott,Twentieth Century Fox,1003,108000000.0,228000000.0,120000000.0,True
tt0286106,Signs,2002,M. Night Shyamalan,Touchstone Pictures,2731,72000000.0,228000000.0,156000000.0,True
tt0448157,Hancock,2008,Peter Berg,Columbia Pictures,1762,150000000.0,228000000.0,78000000.0,True
tt0440963,The Bourne Ultimatum,2007,Paul Greengrass,Universal Pictures,3100,110000000.0,227000000.0,117000000.0,False
tt3315342,Logan,2017,James Mangold,Twentieth Century Fox,600,97000000.0,226000000.0,129000000.0,True
tt0266915,Rush Hour 2,2001,Brett Ratner,New Line Cinema,4763,90000000.0,226000000.0,136000000.0,False
tt4630562,The Fate of the Furious,2017,F. Gary Gray,Universal Pictures,1179,250000000.0,226000000.0,-24000000.0,True
tt0910970,WALL·E,2008,Andrew Stanton,FortyFour Studios,993,180000000.0,224000000.0,44000000.0,True
tt2245084,Big Hero 6,2014,Don Hall,FortyFour Studios,1747,165000000.0,223000000.0,58000000.0,True
tt0114709,Toy Story,1995,John Lasseter,Pixar Animation Studios,852,30000000.0,222000000.0,192000000.0,True
tt4912910,Mission: Impossible - Fallout,2018,Christopher McQuarrie,Paramount Pictures,305,178000000.0,220000000.0,42000000.0,True
tt0465234,National Treasure: Book of Secrets,2007,Jon Turteltaub,Walt Disney Pictures,4616,130000000.0,220000000.0,90000000.0,False
tt1231580,Alvin and the Chipmunks: The Squeakquel,2009,Betty Thomas,Fox 2000 Pictures,9147,75000000.0,220000000.0,145000000.0,False
tt0107614,Mrs. Doubtfire,1993,Chris Columbus,Twentieth Century Fox,1473,25000000.0,219000000.0,194000000.0,True
tt0101414,Beauty and the Beast,1991,Gary Trousdale,Walt Disney Pictures,1852,25000000.0,219000000.0,194000000.0,True
tt1637725,Ted,2012,Seth MacFarlane,Universal Pictures,1610,50000000.0,219000000.0,169000000.0,True
tt0360717,King Kong,2005,Peter Jackson,Universal Pictures,1168,207000000.0,218000000.0,11000000.0,True
tt0099653,Ghost,1990,Jerry Zucker,Paramount Pictures,1593,22000000.0,218000000.0,196000000.0,True
tt0892769,How to Train Your Dragon,2010,Dean DeBlois,DreamWorks Animation,2831,165000000.0,218000000.0,53000000.0,False
tt0382625,The Da Vinci Code,2006,Ron Howard,Columbia Pictures,1997,125000000.0,218000000.0,93000000.0,True
tt0103639,Aladdin,1992,Ron Clements,Walt Disney Pictures,1496,28000000.0,217000000.0,189000000.0,True
tt0952640,Alvin and the Chipmunks,2007,Tim Hill,Fox 2000 Pictures,4448,60000000.0,217000000.0,157000000.0,False
tt0120815,Saving Private Ryan,1998,Steven Spielberg,DreamWorks,429,70000000.0,217000000.0,147000000.0,True
tt5095030,Ant-Man and the Wasp,2018,Peyton Reed,Marvel Studios,1757,162000000.0,217000000.0,55000000.0,True
tt1727824,Bohemian Rhapsody,2018,Bryan Singer,GK Films,449,52000000.0,216000000.0,164000000.0,True
tt1277953,Madagascar 3: Europe's Most Wanted,2012,Eric Darnell,DreamWorks Animation,5249,145000000.0,216000000.0,71000000.0,False
tt0441773,Kung Fu Panda,2008,Mark Osborne,DreamWorks Animation,2012,130000000.0,215000000.0,85000000.0,True
tt0120755,Mission: Impossible II,2000,John Woo,Paramount Pictures,2518,125000000.0,215000000.0,90000000.0,True
tt1517451,A Star Is Born,2018,Bradley Cooper,Warner Bros. Pictures,698,36000000.0,215000000.0,179000000.0,True
tt0290334,X2: X-Men United,2003,Bryan Singer,Twentieth Century Fox,2672,110000000.0,215000000.0,105000000.0,True
tt1482459,The Lorax,2012,Chris Renaud,Universal Pictures,3834,70000000.0,214000000.0,144000000.0,False
tt3778644,Solo: A Star Wars Story,2018,Ron Howard,Lucasfilm,1015,275000000.0,214000000.0,-61000000.0,True
tt1270797,Venom,2018,Ruben Fleischer,Avi Arad Productions,828,100000000.0,214000000.0,114000000.0,True
tt0295178,Austin Powers in Goldmember,2002,Jay Roach,New Line Cinema,2938,63000000.0,213000000.0,150000000.0,False
tt7349950,It Chapter Two,2019,Andy Muschietti,KatzSmith Productions,304,79000000.0,212000000.0,133000000.0,True
tt0088763,Back to the Future,1985,Robert Zemeckis,Universal Pictures,425,19000000.0,211000000.0,192000000.0,True
tt0416449,300,2006,Zack Snyder,Warner Bros.,580,65000000.0,211000000.0,146000000.0,True
tt1596343,Fast Five,2011,Justin Lin,Universal Pictures,1824,125000000.0,210000000.0,85000000.0,True
tt2380307,Coco,2017,Lee Unkrich,Walt Disney Pictures,884,175000000.0,210000000.0,35000000.0,True
tt1229238,Mission: Impossible - Ghost Protocol,2011,Brad Bird,Paramount Pictures,2139,145000000.0,209000000.0,64000000.0,True
tt0396269,Wedding Crashers,2005,David Dobkin,New Line Cinema,2107,40000000.0,209000000.0,169000000.0,True
tt0988045,Sherlock Holmes,2009,Guy Ritchie,Warner Bros.,1737,90000000.0,209000000.0,119000000.0,True
tt2103281,Dawn of the Planet of the Apes,2014,Matt Reeves,Chernin Entertainment,3265,170000000.0,209000000.0,39000000.0,False
tt0372784,Batman Begins,2005,Christopher Nolan,Warner Bros.,573,150000000.0,207000000.0,57000000.0,True
tt0367594,Charlie and the Chocolate Factory,2005,Tim Burton,Warner Bros.,1013,150000000.0,206000000.0,56000000.0,True
tt0382932,Ratatouille,2007,Brad Bird,Walt Disney Pictures,878,150000000.0,206000000.0,56000000.0,True
tt1981115,Thor: The Dark World,2013,Alan Taylor,Marvel Studios,1107,170000000.0,206000000.0,36000000.0,True
tt0145660,Austin Powers: The Spy Who Shagged Me,1999,Jay Roach,New Line Cinema,2514,33000000.0,206000000.0,173000000.0,True
tt0103064,Terminator 2: Judgment Day,1991,James Cameron,Carolco Pictures,901,102000000.0,206000000.0,104000000.0,True
tt1872181,The Amazing Spider-Man 2,2014,Marc Webb,Marvel Enterprises,2554,200000000.0,203000000.0,3000000.0,True
tt0816711,World War Z,2013,Marc Forster,Paramount Pictures,462,190000000.0,202000000.0,12000000.0,True
tt0209163,The Mummy Returns,2001,Stephen Sommers,Universal Pictures,2169,98000000.0,202000000.0,104000000.0,True
tt0120591,Armageddon,1998,Michael Bay,Touchstone Pictures,1486,140000000.0,202000000.0,62000000.0,True
tt1661199,Cinderella,2015,Kenneth Branagh,Allison Shearmur Productions,1058,95000000.0,201000000.0,106000000.0,True
tt5848272,Ralph Breaks the Internet,2018,Phil Johnston,Walt Disney Animation Studios,1458,175000000.0,201000000.0,26000000.0,True
tt0031381,Gone with the Wind,1939,Victor Fleming,Selznick International Pictures,1293,4000000.0,201000000.0,197000000.0,True
tt0398286,Tangled,2010,Nathan Greno,Walt Disney Animation Studios,1035,260000000.0,201000000.0,-59000000.0,True
tt0831387,Godzilla,2014,Gareth Edwards,Warner Bros.,1094,160000000.0,201000000.0,41000000.0,True
tt0348150,Superman Returns,2006,Bryan Singer,Warner Bros.,2360,270000000.0,200000000.0,-70000000.0,True
tt2379713,Spectre,2015,Sam Mendes,B24,457,245000000.0,200000000.0,-45000000.0,True
tt0213149,Pearl Harbor,2001,Michael Bay,Touchstone Pictures,736,140000000.0,199000000.0,59000000.0,True
tt0892782,Monsters vs. Aliens,2009,Rob Letterman,DreamWorks Animation,3748,175000000.0,198000000.0,23000000.0,False
tt0366548,Happy Feet,2006,George Miller,Warner Bros.,4580,100000000.0,198000000.0,98000000.0,False
tt0097576,Indiana Jones and the Last Crusade,1989,Steven Spielberg,Paramount Pictures,1223,48000000.0,197000000.0,149000000.0,True
tt1080016,Ice Age: Dawn of the Dinosaurs,2009,Carlos Saldanha,Twentieth Century Fox Animation,7209,90000000.0,197000000.0,107000000.0,False
tt0438097,Ice Age: The Meltdown,2006,Carlos Saldanha,Twentieth Century Fox Animation,6417,80000000.0,195000000.0,115000000.0,False
tt2381249,Mission: Impossible - Rogue Nation,2015,Christopher McQuarrie,Paramount Pictures,1042,150000000.0,195000000.0,45000000.0,True
