imdb_id,title,year,director,production_co,region_code,rank,budget_usd,us_gross
tt0413300,Spider-Man 3,2007,Sam Raimi,Columbia Pictures,[US],"1,876",$258MM,$337MM
tt2293640,Minions,2015,Kyle Balda,Illumination Entertainment,[US],"4,165",$74MM,$336MM
tt7286456,Joker,2019,Todd Phillips,Warner Bros.,[US],50,$55MM,$335MM
tt1477834,Aquaman,2018,James Wan,DC Comics,[US],516,$160MM,$335MM
tt2250912,Spider-Man: Homecoming,2017,Jon Watts,Columbia Pictures,[US],624,$175MM,$334MM
tt1014759,Alice in Wonderland,2010,Tim Burton,Walt Disney Pictures,[US],"1,890",$200MM,$334MM
tt2015381,Guardians of the Galaxy,2014,James Gunn,Marvel Studios,[US],448,$170MM,$333MM
tt0109830,Forrest Gump,1994,Robert Zemeckis,Paramount Pictures,[US],222,$55MM,$330MM
tt2975590,Batman v Superman: Dawn of Justice,2016,Zack Snyder,Warner Bros.,[US],752,$250MM,$330MM
tt1396484,It,2017,Andy Muschietti,New Line Cinema,[US],283,$35MM,$329MM
tt1386697,Suicide Squad,2016,David Ayer,Atlas Entertainment,[US],267,$175MM,$325MM
tt5463162,Deadpool 2,2018,David Leitch,Twentieth Century Fox,[US],539,$110MM,$325MM
tt0413267,Shrek the Third,2007,Chris Miller,DreamWorks,[US],"4,949",$160MM,$323MM
tt0418279,Transformers,2007,Michael Bay,DreamWorks,[US],"1,407",$150MM,$319MM
tt0371746,Iron Man,2008,Jon Favreau,Paramount Pictures,[US],894,$140MM,$319MM
tt0241527,Harry Potter and the Sorcerer's Stone,2001,Chris Columbus,Warner Bros.,[US],280,$125MM,$318MM
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,2008,Steven Spielberg,Paramount Pictures,[US],"2,134",$185MM,$317MM
tt7975244,Jumanji: The Next Level,2019,Jake Kasdan,Matt Tolmach Productions,[US],37,$125MM,$317MM
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,New Line Cinema,[US],336,$93MM,$316MM
tt3501632,Thor: Ragnarok,2017,Taika Waititi,Walt Disney Pictures,[US],303,$180MM,$315MM
tt1228705,Iron Man 2,2010,Jon Favreau,Paramount Pictures,[US],"1,559",$200MM,$312MM
tt0121765,Star Wars: Episode II - Attack of the Clones,2002,George Lucas,Lucasfilm,[US],"1,490",$115MM,$311MM
tt0449088,Pirates of the Caribbean: At World's End,2007,Gore Verbinski,Walt Disney Pictures,[US],"1,863",$300MM,$309MM
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,Richard Marquand,Lucasfilm,[US],"1,570",$32MM,$309MM
tt0116629,Independence Day,1996,Roland Emmerich,Twentieth Century Fox,[US],"1,882",$75MM,$306MM
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski,Walt Disney Pictures,[US],618,$140MM,$305MM
tt1074638,Skyfall,2012,Sam Mendes,Metro-Goldwyn-Mayer (MGM),[US],540,$200MM,$304MM
tt0903624,The Hobbit: An Unexpected Journey,2012,Peter Jackson,Metro-Goldwyn-Mayer (MGM),[US],695,$180MM,$303MM
tt0417741,Harry Potter and the Half-Blood Prince,2009,David Yates,Warner Bros.,[US],"1,252",$250MM,$302MM
tt1325004,The Twilight Saga: Eclipse,2010,David Slade,Summit Entertainment,[US],"2,928",$68MM,$301MM
tt1259571,The Twilight Saga: New Moon,2009,Chris Weitz,Temple Hill Entertainment,[US],"3,084",$50MM,$298MM
tt0926084,Harry Potter and the Deathly Hallows: Part 1,2010,David Yates,Warner Bros.,[US],"1,158",£150MM,$296MM
tt0167404,The Sixth Sense,1999,M. Night Shyamalan,Hollywood Pictures,[US],"1,301",$40MM,$294MM
tt1049413,Up,2009,Pete Docter,Pixar Animation Studios,[US],"1,126",$175MM,$293MM
tt1375666,Inception,2010,Christopher Nolan,Warner Bros.,[US],239,$160MM,$293MM
tt0373889,Harry Potter and the Order of the Phoenix,2007,David Yates,Warner Bros.,[US],"1,332",$150MM,$292MM
tt1673434,The Twilight Saga: Breaking Dawn - Part 2,2012,Bill Condon,Summit Entertainment,[US],"1,284",$120MM,$292MM
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Andrew Adamson,Walt Disney Pictures,[US],"1,099",$180MM,$292MM
tt0770828,Man of Steel,2013,Zack Snyder,Warner Bros.,[US],"1,132",$225MM,$291MM
tt0330373,Harry Potter and the Goblet of Fire,2005,Mike Newell,Warner Bros.,[US],902,$150MM,$290MM
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner,Lucasfilm,[US],"1,504",$18MM,$290MM
tt0198781,"Monsters, Inc.",2001,Pete Docter,Pixar Animation Studios,[US],"1,265",$115MM,$290MM
tt0099785,Home Alone,1990,Chris Columbus,Hughes Entertainment,[US],"1,460",$18MM,$286MM
tt1951266,The Hunger Games: Mockingjay - Part 2,2015,Francis Lawrence,Color Force,[US],"1,934",$160MM,$282MM
tt0234215,The Matrix Reloaded,2003,Lana Wachowski,Warner Bros.,[US],926,$150MM,$282MM
tt1324999,The Twilight Saga: Breaking Dawn - Part 1,2011,Bill Condon,Summit Entertainment,[US],"2,636",$110MM,$281MM
tt0290002,Meet the Fockers,2004,Jay Roach,Universal Pictures,[US],"4,927",$80MM,$279MM
tt1119646,The Hangover,2009,Todd Phillips,Warner Bros.,[US],"1,111",$35MM,$277MM
tt1454468,Gravity,2013,Alfonso Cuarón,Warner Bros.,[US],"1,922",$100MM,$274MM
tt2709692,Dr. Seuss' The Grinch,2018,Yarrow Cheney,Universal Pictures,[US],"5,337",$75MM,$271MM
tt3470600,Sing,2016,Garth Jennings,Dentsu,[JP],"1,476",$75MM,$270MM
tt1453405,Monsters University,2013,Dan Scanlon,Walt Disney Pictures,[US],"2,089",$200MM,$268MM
tt0126029,Shrek,2001,Andrew Adamson,DreamWorks Animation,[US],"1,661",$60MM,$268MM
tt3469046,Despicable Me 3,2017,Kyle Balda,Illumination Entertainment,[US],"4,100",$80MM,$265MM
tt0295297,Harry Potter and the Chamber of Secrets,2002,Chris Columbus,Warner Bros.,[US],"1,077",$100MM,$262MM
tt0948470,The Amazing Spider-Man,2012,Marc Webb,Columbia Pictures,[US],"2,332",$230MM,$262MM
tt0317705,The Incredibles,2004,Brad Bird,Pixar Animation Studios,[US],"1,244",$92MM,$261MM
tt0170016,How the Grinch Stole Christmas,2000,Ron Howard,Universal Pictures,[US],"3,852",$123MM,$260MM
tt0073195,Jaws,1975,Steven Spielberg,Zanuck/Brown Productions,[US],"1,037",$7MM,$260MM
tt1843866,Captain America: The Winter Soldier,2014,Anthony Russo,Marvel Entertainment,[US],"1,525",$170MM,$260MM
tt1170358,The Hobbit: The Desolation of Smaug,2013,Peter Jackson,Metro-Goldwyn-Mayer (MGM),[US],"1,462",$225MM,$258MM
tt1490017,The Lego Movie,2014,Christopher Miller,Warner Bros.,[US],"3,374",$60MM,$258MM
tt0796366,Star Trek,2009,J.J. Abrams,Paramount Pictures,[US],"1,110",$150MM,$258MM
tt0480249,I Am Legend,2007,Francis Lawrence,Warner Bros.,[US],670,$150MM,$256MM
tt0878804,The Blind Side,2009,John Lee Hancock,Alcon Entertainment,[US],"1,190",$29MM,$256MM
tt2310332,The Hobbit: The Battle of the Five Armies,2014,Peter Jackson,New Line Cinema,[US],870,$250MM,$255MM
tt1411697,The Hangover Part II,2011,Todd Phillips,Warner Bros.,[US],"4,418",$80MM,$254MM
tt1323594,Despicable Me,2010,Pierre Coffin,Universal Pictures,[US],"3,387",$69MM,$252MM
tt0096895,Batman,1989,Tim Burton,Warner Bros.,[US],611,$35MM,$251MM
tt0477347,Night at the Museum,2006,Shawn Levy,Twentieth Century Fox,[US],"2,322",$110MM,$251MM
tt0119654,Men in Black,1997,Barry Sonnenfeld,Columbia Pictures,[US],889,$90MM,$251MM
tt0304141,Harry Potter and the Prisoner of Azkaban,2004,Alfonso Cuarón,Warner Bros.,[US],"1,043",$130MM,$250MM
tt3521164,Moana,2016,Ron Clements,Hurwitz Creative,[US],712,$150MM,$249MM
tt0082971,Raiders of the Lost Ark,1981,Steven Spielberg,Paramount Pictures,[US],840,$18MM,$248MM
tt0120363,Toy Story 2,1999,John Lasseter,Pixar Animation Studios,[US],"2,321",$90MM,$246MM
tt2109248,Transformers: Age of Extinction,2014,Michael Bay,Paramount Pictures,[US],"2,775",$210MM,$245MM
tt0317219,Cars,2006,John Lasseter,Pixar Animation Studios,[US],785,$120MM,$244MM
tt0315327,Bruce Almighty,2003,Tom Shadyac,Spyglass Entertainment,[US],"3,335",$81MM,$243MM
tt0087332,Ghostbusters,1984,Ivan Reitman,Columbia Pictures,[US],"1,109",$30MM,$243MM
tt0117998,Twister,1996,Jan de Bont,Warner Bros.,[US],"2,198",$92MM,$242MM
tt0259446,My Big Fat Greek Wedding,2002,Joel Zwick,Gold Circle Films,[US],"4,333",$5MM,$241MM
tt1587310,Maleficent,2014,Robert Stromberg,Jolie Pas,[US],"1,259",$180MM,$241MM
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,Rob Marshall,Walt Disney Pictures,[US],"1,659",$250MM,$241MM
tt0892791,Shrek Forever After,2010,Mike Mitchell,DreamWorks Animation,[US],"4,038",$165MM,$239MM
tt1905041,Fast & Furious 6,2013,Justin Lin,Universal Pictures,[US],"1,906",$160MM,$239MM
tt1217209,Brave,2012,Mark Andrews,Walt Disney Pictures,[US],"1,404",$185MM,$237MM
tt1623205,Oz the Great and Powerful,2013,Sam Raimi,Walt Disney Pictures,[US],"3,402",$215MM,$235MM
tt0086960,Beverly Hills Cop,1984,Martin Brest,Paramount Pictures,[US],"2,798",$14MM,$235MM
tt0376994,X-Men: The Last Stand,2006,Brett Ratner,Twentieth Century Fox,[US],"2,431",$210MM,$234MM
tt0407304,War of the Worlds,2005,Steven Spielberg,Paramount Pictures,[US],"1,488",$132MM,$234MM
tt3183660,Fantastic Beasts and Where to Find Them,2016,David Yates,Heyday Films,[GB],"1,370",$180MM,$234MM
tt1877832,X-Men: Days of Future Past,2014,Bryan Singer,Twentieth Century Fox,[US],"2,002",$200MM,$234MM
tt0162222,Cast Away,2000,Robert Zemeckis,Twentieth Century Fox,[US],644,$90MM,$234MM
tt0070047,The Exorcist,1973,William Friedkin,Warner Bros.,[US],170,$11MM,$233MM
tt1211837,Doctor Strange,2016,Scott Derrickson,Marvel Studios,[US],"1,040",$165MM,$233MM
tt0119567,The Lost World: Jurassic Park,1997,Steven Spielberg,Universal Pictures,[US],"1,575",$73MM,$229MM
tt0974015,Justice League,2017,Zack Snyder,Warner Bros.,[US],617,$300MM,$229MM
tt1408101,Star Trek Into Darkness,2013,J.J. Abrams,Paramount Pictures,[US],"2,090",$190MM,$229MM
tt3659388,The Martian,2015,Ridley Scott,Twentieth Century Fox,[US],"1,003",$108MM,$228MM
tt0286106,Signs,2002,M. Night Shyamalan,Touchstone Pictures,[US],"2,731",$72MM,$228MM
tt0448157,Hancock,2008,Peter Berg,Columbia Pictures,[US],"1,762",$150MM,$228MM
tt0440963,The Bourne Ultimatum,2007,Paul Greengrass,Universal Pictures,[US],"3,100",$110MM,$227MM
