name,year,rank,age,height
Anna Jacoby-Heron,(2011),"2,431",24,
Alex Lawther,(2014),"2,432",,"5' 7½"""
Ever Anderson,(2016),"2,433",12,
Anjelica Huston,(1990),"2,434",68,"5' 10"""
Adam Goldberg,(1998),"2,435",49,"5' 11¼"""
Gaten Matarazzo,(2016-2021),"2,436",17,"5' 5"""
Shay Mitchell,(2010-2017),"2,437",32,"5' 7½"""
Wyatt Russell,(2018),"2,438",33,"6' 2"""
Sybil Danning,(2007),"2,439",,"5' 7"""
Jill St. John,(1971),"2,440",79,"5' 6"""
Shirley Henderson,(2019),"2,441",54,"5' 0½"""
Tom Berenger,(2010),"2,442",70,"5' 11"""
Joyce Van Patten,(2010),"2,443",86,
Meg Donnelly,(2016-2020),"2,444",,"5' 3"""
Avan Jogia,(2019),"2,445",28,"5' 10"""
Joanna Cassidy,(1982),"2,446",74,"5' 9"""
James Dean,(1931–1955),"2,447",89,"5' 8"""
Brooke D'Orsay,(2010-2016),"2,448",,"5' 5"""
Jenna Jameson,(2008),"2,449",45,"5' 3"""
Alice Lee,(2019),"2,450",,"5' 3"""
Lesley-Anne Down,(1985),"2,451",66,"5' 5"""
Suzie Plakson,(1996),"2,452",,"6' 0½"""
Jason Marsden,(1995),"2,453",45,"5' 1"""
Dustin Tucker,(2020),"2,454",40,"5' 8½"""
Lucas Hedges,(2016),"2,455",23,"5' 11"""
Dexter Fletcher,(2019),"2,456",54,"5' 6"""
Claudie Blakley,(2005),"2,457",47,"5' 6¼"""
Michael Rapaport,(1999),"2,458",50,"6' 2¼"""
Diora Baird,(2005),"2,459",36,"5' 9"""
DJ Qualls,(2003),"2,460",41,"6' 0"""
Iain Glen,(2016),"2,461",58,"6' 1"""
Cloris Leachman,(1971),"2,463",93,"5' 5½"""
Yasmine Al Massri,(2007),"2,464",,
Asia Argento,(2005),"2,466",44,"5' 6"""
Sheri Moon Zombie,(2005),"2,467",49,"5' 10"""
Keegan-Michael Key,(2016),"2,468",48,"6' 0¼"""
Kirsten Vangsness,(2005-2020),"2,469",47,"5' 7"""
Nick Kroll,(2016),"2,470",41,"5' 9"""
Zachary Quinto,(2009),"2,471",,"6' 1"""
AnnaLynne McCord,(2012),"2,472",32,"5' 7½"""
Kate Capshaw,(1984),"2,473",66,"5' 7"""
Markie Post,(1998),"2,474",69,"5' 6"""
Hallea Jones,(2020),"2,475",,
Betsy Brandt,(2008-2013),"2,476",47,"5' 9"""
William Moseley,(2005),"2,477",32,"5' 10"""
Anne-Marie Duff,(2009),"2,478",49,"5' 7"""
Kelsey Asbille,(2017),"2,479",28,"5' 7"""
Ione Skye,(1989),"2,480",,"5' 6"""
Portia Doubleday,(2009),"2,481",31,"5' 6"""
Elizabeth Marvel,(2010),"2,482",50,"5' 6½"""
Alison Doody,(1989),"2,483",53,"5' 9"""
Mimi Rogers,(2000),"2,484",64,"5' 8¼"""
Hera Hilmar,(2008),"2,485",31,"5' 7"""
Chris O'Dowd,(2011),"2,486",40,"6' 3"""
Zach Woods,(2010),"2,487",35,"6' 4"""
Francesca Eastwood,(2019),"2,488",26,"5' 5"""
Charlotte Gainsbourg,(2009),"2,489",48,"5' 8"""
Emily Meade,(2017-2019),"2,491",31,"5' 6"""
BD Wong,(1993),"2,492",59,"5' 4½"""
Sophia Tatum,(2006),"2,493",,
Jay R. Ferguson,(2005-2006),"2,494",45,"5' 11"""
Caterina Murino,(2006),"2,495",42,"5' 9"""
Emily Rose,(2010-2015),"2,496",,"5' 5"""
Edi Gathegi,(2011),"2,497",,"6' 1"""
Jordan Fisher,(2016),"2,498",,"5' 7"""
Joanna Scanlan,(2009-2012),"2,499",58,"5' 1"""
Felix Mallard,(2014-2019),"2,500",,
Jeffrey Donovan,(2007-2013),"2,501",51,"6' 0"""
Steve Guttenberg,(1987),"2,502",61,"5' 10½"""
Gil Bellows,(2015-2018),"2,503",52,"5' 11"""
Steve Zahn,(2017),"2,504",52,"5' 7½"""
Jessica McNamee,(2018),"2,505",33,"5' 5¾"""
Jesse Lee Soffer,(2011),"2,506",35,"5' 8"""
Annabel Scholey,(2014),"2,507",36,"5' 4½"""
Natalia Cigliuti,(2020),"2,508",41,"5' 6"""
Colin Morgan,(2015),"2,509",,"6' 0"""
Michael Madsen,(2015),"2,510",62,"6' 2"""
Matt Dillon,(1998),"2,511",56,"6' 0"""
Sacha Dhawan,(2013),"2,512",,"5' 7"""
Duncan Lacroix,(2018),"2,513",50,"6' 2"""
James DuMont,(2015),"2,514",,"5' 9"""
Ben Feldman,(2009),"2,515",,"5' 8"""
Chris Rock,(2014),"2,516",55,"5' 10¼"""
Terrence Howard,(2005),"2,517",51,"6' 0½"""
Desmond Harrington,(2008-2013),"2,518",,"5' 11"""
Will Forte,(2013),"2,519",49,"5' 9"""
Jessica St. Clair,(2010),"2,520",43,"5' 7"""
Joaquín Cosio,(2008),"2,521",57,
Constance Zimmer,(2015-2018),"2,522",49,"5' 4"""
Danny Glover,(1987),"2,523",73,"6' 3½"""
Kellan Lutz,(2012),"2,524",,"6' 0"""
Jessica Lucas,(2008),"2,525",34,"5' 6"""
Mary Kay Place,(1999),"2,526",72,"5' 1"""
Emily Wickersham,(2012),"2,527",,"5' 6½"""
Julie Newmar,(1989),"2,528",86,"5' 11"""
Dominic Cooper,(2011),"2,529",41,"5' 9½"""
Therica Wilson-Read,(2019),"2,530",,"5' 2¾"""
Phoebe Tonkin,(2010),"2,531",30,"5' 7¾"""
James Woods,(1998),"2,532",72,"5' 11"""
Daniel Gillies,(2013-2018),"2,533",44,"5' 10"""
Rupert Evans,(2004),"2,534",44,"5' 10"""
Christine Woods,(2013-2014),"2,535",36,"5' 6"""
Beverly D'Angelo,(1998),"2,536",68,"5' 2"""
David Stakston,(2015-2017),"2,537",,"6' 1¼"""
Marg Helgenberger,(2000-2015),"2,538",61,"5' 6"""
Morgan Lily,(2009),"2,539",19,"5' 5"""
Conor Leslie,(2015-2018),"2,540",28,"5' 9"""
Miguel Ferrer,(1955–2017),"2,541",65,"6' 0"""
Simu Liu,(2021),"2,542",30,"5' 11"""
Henry Ian Cusick,(2005-2010),"2,543",,"5' 10½"""
William Jackson Harper,(2019),"2,544",,"5' 8"""
India Eisley,(2012),"2,545",26,"5' 3½"""
Bruce Campbell,(2002),"2,546",61,"6' 1"""
Kevin Connolly,(2004-2011),"2,547",46,"5' 5"""
Margot Bingham,(2013-2014),"2,548",,"5' 7"""
Adam Baldwin,(2005),"2,549",58,"6' 4"""
Sofia Vassilieva,(2009),"2,550",27,"5' 6"""
Melanie Scrofano,(2009),"2,551",,"5' 7"""
Cassandra Peterson,(1988),"2,552",,"5' 7"""
Salli Richardson-Whitfield,(2004),"2,553",52,"5' 4"""
Utkarsh Ambudkar,(2019),"2,554",,"5' 9"""
Lindy Booth,(2004),"2,555",40,"5' 7"""
Jeffrey Combs,(1996),"2,556",65,"5' 7"""
Patricia Heaton,(1996-2005),"2,557",62,"5' 2"""
Kat Graham,(2018),"2,558",30,"5' 2"""
Anne Dudek,(2004),"2,559",,"5' 10"""
Thomas Lennon,(2003-2020),"2,560",49,"5' 8"""
Angus T. Jones,(2003-2015),"2,561",26,"5' 7"""
Willow Shields,(2012),"2,562",19,"5' 3"""
Miriam Margolyes,(1993),"2,563",78,"5' 1"""
Ed Helms,(2009),"2,564",46,"5' 11¾"""
Kyle MacLachlan,(1990-1991),"2,565",61,"6' 0"""
Issa Rae,(2016-2020),"2,566",,"5' 9½"""
David Cronenberg,(1986),"2,567",77,"5' 9"""
Mekia Cox,(2011),"2,568",,"5' 5"""
David Anders,(2009),"2,569",39,"6' 0"""
Dennis Hopper,(1936–2010),"2,570",83,"5' 9"""
Russell Tovey,(2012),"2,571",38,"5' 9¾"""
Brooke Smith,(1991),"2,572",52,"5' 9½"""
Justin Timberlake,(2016),"2,573",39,"6' 1"""
Lin Shaye,(2010),"2,574",,"5' 3"""
James Gandolfini,(1961–2013),"2,575",58,"6' 1"""
Tati Gabrielle,(2017-2019),"2,576",,"5' 7"""
Dagmara Dominczyk,(2002),"2,577",43,"5' 6"""
Goran Visnjic,(2011),"2,578",47,"6' 4"""
Alfie Allen,(2014),"2,579",33,"5' 9"""
Malcolm McDowell,(1971),"2,580",76,"5' 8½"""
Taylor Hickson,(2016),"2,581",22,"5' 4"""
Ronda Rousey,(2015),"2,582",33,"5' 7"""
Çagatay Ulusoy,(2013-2015),"2,583",,"6' 3"""
Daniel Bernhardt,(2017),"2,584",54,"6' 3"""
Donal Logue,(1998),"2,585",54,"5' 10"""
David Paul,(1957–2020),"2,586",63,
Marguerite Moreau,(1992),"2,587",,"5' 3"""
Patty McCormack,(2012),"2,588",74,
Elinor Donahue,(1990),"2,589",82,
Dean Stockwell,(1989-1993),"2,590",84,"5' 7"""
Alex Pettyfer,(2011),"2,591",,"5' 11½"""
Tom Sizemore,(1998),"2,592",58,"5' 11"""
Nastassja Kinski,(1979),"2,593",59,"5' 6½"""
Robert Wagner,(1974),"2,594",90,"5' 11"""
Rob McClure,(2014),"2,595",,
David Morse,(1999),"2,596",66,"6' 3½"""
Vanessa Redgrave,(2007),"2,597",83,"5' 11¼"""
Claire Holt,(2017),"2,598",31,"5' 6¾"""
Keegan Connor Tracy,(2003),"2,599",,"5' 4"""
Moises Arias,(2013),"2,600",25,"4' 11"""
Kristin Chenoweth,(2007-2009),"2,601",51,"4' 11"""
Steven Strait,(2006),"2,602",33,"6' 2"""
Richard Roxburgh,(2001),"2,603",58,"5' 11"""
Rachel Blanchard,(2014),"2,604",,"5' 8"""
Jackie Cruz,(2013-2019),"2,605",35,"5' 9"""
Jean Reno,(1994),"2,606",71,"6' 2"""
Woo-sik Choi,(2019),"2,607",29,"5' 11½"""
Milo Manheim,(2020),"2,608",,"6' 3"""
Poppy Montgomery,(2002-2009),"2,609",47,"5' 4"""
Boris Kodjoe,(2010),"2,610",47,"6' 4"""
Parisa Fitz-Henley,(2020),"2,611",,"5' 9½"""
Danielle Campbell,(2018-2020),"2,612",25,"5' 3"""
Janeane Garofalo,(2007),"2,613",55,"5' 1"""
Jack Huston,(2013),"2,614",37,"6' 0"""
Harley Quinn Smith,(2019),"2,615",20,"5' 8"""
Spencer Grammer,(2013-2019),"2,616",,"5' 4"""
Yvonne De Carlo,(1922–2007),"2,617",97,"5' 4¼"""
Nicole Eggert,(1987-1990),"2,618",48,"5' 2"""
John Magaro,(2015),"2,619",,"5' 7"""
Troian Bellisario,(2010-2017),"2,620",,"5' 7"""
Frankie Shaw,(2017-2019),"2,621",,"5' 6½"""
Jennifer Saunders,(1992-2012),"2,622",61,"5' 4"""
Jillian Bell,(2014),"2,623",35,"5' 6"""
Joseph Morgan,(2013-2018),"2,624",38,"5' 11"""
Wendy Crewson,(1997),"2,625",63,"5' 7"""
Thomas Sadoski,(2000),"2,626",43,"5' 11"""
Scott Glenn,(1990),"2,627",81,"6' 0"""
John Slattery,(2015),"2,628",57,"5' 10"""
Matthew Morrison,(2009-2015),"2,629",41,"5' 11"""
Mary Beth Hurt,(2006),"2,630",73,"5' 4"""
Jamie Clayton,(2015-2018),"2,631",42,"5' 10"""
Whitney Cummings,(2008),"2,632",37,"5' 10"""
Sidse Babett Knudsen,(2010-2013),"2,633",51,"5' 6"""
Jordana Spiro,(2018),"2,634",42,"5' 7"""
Ebony Obsidian,(2019-2020),"2,635",,"5' 6"""
Steven Ogg,(2013),"2,636",,"6' 3"""
Jason Clarke,(2012),"2,637",50,"6' 1"""
Iain Armitage,(2017-2020),"2,638",,"4' 8"""
Barry Keoghan,(2017),"2,639",,"5' 7"""
Richard Ayoade,(2010),"2,640",42,"6' 2"""
Hanna Hall,(1994),"2,642",,"5' 6"""
Ana Villafañe,(2016),"2,643",,"5' 6½"""
Manu Bennett,(2007),"2,644",,"5' 11"""
Alexandra Bastedo,(1946–2014),"2,645",74,"5' 6"""
Katherine Parkinson,(2009),"2,646",41,"5' 6"""
Sophia Di Martino,(2016-2018),"2,647",,"5' 7"""
Brandon Lee,(1965–1993),"2,648",55,"6' 0"""
Grace Kelly,(1929–1982),"2,649",90,"5' 6½"""
Rhys Ifans,(2012),"2,650",52,"6' 2"""
Rena Sofer,(2000),"2,651",51,"5' 6"""
Auli'i Cravalho,(2016),"2,652",,"5' 3"""
Alfre Woodard,(1996),"2,653",67,"5' 3½"""
Charlotte Hope,(2016),"2,654",,"5' 3"""
Shirley MacLaine,(1983),"2,655",85,"5' 7"""
Ethan Phillips,(2013),"2,656",65,"5' 6"""
Jeremy Northam,(2001),"2,657",58,"6' 2"""
Taylor Kinney,(2014),"2,658",38,"5' 11"""
Ellen Burstyn,(2000),"2,659",87,"5' 7"""
Amy Brenneman,(1999-2005),"2,660",55,"5' 6"""
Helen Slater,(1984),"2,661",56,"5' 8"""
Melody Anderson,(1980),"2,662",64,"5' 7"""
Imelda Staunton,(2007),"2,663",64,"5' 0"""
Nestor Carbonell,(2008),"2,664",52,"5' 9¾"""
Louis Garrel,(2003),"2,665",36,"6' 0"""
Courtney B. Vance,(1990),"2,666",60,"5' 9"""
Joe Cole,(2017),"2,667",31,"5' 11"""
Luna Blaise,(2018-2020),"2,668",,"5' 5"""
Scott Caan,(2007),"2,669",43,"5' 5"""
Cailey Fleming,(2015),"2,670",,"4' 0"""
Jon Seda,(2014-2019),"2,671",49,"5' 9"""
Keean Johnson,(2019),"2,672",,"5' 7"""
Charlotte Nicdao,(2020),"2,673",,"5' 4"""
Chevy Chase,(1983),"2,674",76,"6' 3½"""
Miley Cyrus,(2006-2011),"2,675",27,"5' 5"""
David Spade,(2001),"2,676",55,"5' 7"""
Allison Scagliotti,(2009-2014),"2,677",,"5' 5"""
Alfred Molina,(2004),"2,678",66,"6' 2½"""
Sophia Myles,(2006),"2,679",40,"5' 6"""
Kelen Coleman,(2012-2013),"2,680",,"5' 9½"""
Jason Dohring,(2014),"2,681",37,"6' 0"""
Tracie Thoms,(2005),"2,682",44,"5' 5"""
Sonya Walger,(2004),"2,683",45,"5' 7"""
Cary Grant,(1904–1986),"2,684",116,"6' 1½"""
Denise Crosby,(1989),"2,685",,"5' 8"""
Thomas Middleditch,(2015),"2,686",38,"5' 11"""
Briga Heelan,(2017-2018),"2,687",32,"5' 5"""
Emory Cohen,(2015),"2,688",30,"5' 7½"""
Douglas Booth,(2016),"2,689",27,"6' 1"""
Miranda Richardson,(1992),"2,690",62,"5' 5"""
F. Murray Abraham,(2014),"2,691",80,"5' 10"""
Olivia Hussey,(1968),"2,692",68,"5' 2"""
Geraldine James,(2009),"2,693",69,"5' 7"""
Joey Lawrence,(1990-1995),"2,694",43,"5' 8"""
Christopher Abbott,(2015),"2,695",,"6' 0"""
Leven Rambin,(2012),"2,696",,"5' 7½"""
Carel Struycken,(1991),"2,697",71,"7' 0"""
Ingrid Bergman,(1915–1982),"2,698",104,"5' 9"""
Frances Conroy,(2019),"2,699",67,"5' 7"""
Barry Pepper,(1998),"2,700",49,"5' 10¼"""
Billy Crystal,(1995),"2,701",72,"5' 7"""
Raegan Revord,(2017-2020),"2,702",,"3' 8"""
Tony Shalhoub,(2002-2009),"2,703",66,"5' 10"""
Nicholle Tom,(1992),"2,704",,"5' 7½"""
Raffey Cassidy,(2015),"2,705",,"5' 5"""
Sasha Grey,(2009),"2,706",32,"5' 7"""
Traci Lords,(1990),"2,707",51,"5' 7"""
Abigail Hawk,(2010-2020),"2,708",,"5' 8"""
Molly Gordon,(2019),"2,709",24,"5' 4"""
Katerina Tannenbaum,(2020),"2,710",,
Anna Akana,(2016-2018),"2,711",30,"5' 1"""
Robert Taylor,(1999),"2,712",,"6' 2¼"""
Lysette Anthony,(1995),"2,713",56,"5' 5½"""
Vinnie Jones,(2000),"2,714",55,"6' 1"""
Patrick John Flueger,(2014-2020),"2,715",36,"6' 0"""
Elliott Gould,(1970),"2,716",81,"6' 3"""
Honor Blackman,(1964),"2,717",94,"5' 6"""
Jean Simmons,(1929–2010),"2,718",91,"5' 4"""
Kelsey Grammer,(1984-1993),"2,719",65,"6' 1"""
Kathryn Bigelow,(2008),"2,720",68,"5' 11¾"""
Alan Ruck,(1996),"2,721",63,"5' 10¾"""
Rob Reiner,(1971-1979),"2,722",73,"6' 2"""
Harris Dickinson,(2017),"2,723",23,"6' 0"""
Sean Harris,(2018),"2,724",53,"6' 0"""
James Frain,(2002),"2,725",52,"5' 11½"""
Tony Dalton,(2018-2020),"2,726",45,"6' 0"""
Gwendoline Christie,(2012-2019),"2,727",41,"6' 3"""
David Cross,(2003-2019),"2,728",55,"5' 8"""
Billy Burke,(2008),"2,729",53,"6' 2"""
Shea Whigham,(2011),"2,730",51,"5' 8½"""
Chase Masterson,(2009),"2,731",57,"5' 7"""
Rhea Perlman,(1982-1993),"2,732",71,"5' 0"""
Tyler Posey,(2011-2017),"2,733",28,"5' 9"""
Jack Whitehall,(2015),"2,734",31,"6' 1"""
Jason Biggs,(1999),"2,735",41,"5' 9"""
Judd Hirsch,(1978-1983),"2,736",85,"5' 10½"""
Jim Cummings,(2018),"2,737",67,"5' 8"""
Ashley Boettcher,(2009),"2,738",,"5' 1½"""
Heather Locklear,(1993-1999),"2,739",58,"5' 5"""
Tamsin Greig,(2004-2006),"2,740",53,"5' 6"""
Jessica Raine,(2013),"2,741",37,"5' 6"""
Jeremy Allen White,(2011-2020),"2,742",,"5' 7"""
Jessica Walter,(2003-2019),"2,743",79,"5' 8"""
Erica Cerra,(2017),"2,744",40,"5' 5¾"""
Fisher Stevens,(1986),"2,745",56,"5' 7"""
Amy Pietz,(1995-1999),"2,746",51,"5' 5"""
Felicia Day,(2007-2013),"2,747",40,"5' 5"""
Fran Kranz,(2011),"2,748",38,"5' 11"""
Sierra Aylina McClain,(2007),"2,749",26,"5' 5"""
Jordan Calloway,(2018-2020),"2,750",,"5' 11"""
Marc Warren,(2008),"2,751",53,"5' 8½"""
Geoffrey Rush,(2010),"2,752",68,"5' 11½"""
Musetta Vander,(2000),"2,753",,"5' 8"""
Cristina Rodlo,(2019),"2,756",,"5' 7"""
Tricia O'Neil,(1997),"2,758",75,
Sam Trammell,(2008-2014),"2,759",51,"5' 8¾"""
Joel Courtney,(2011),"2,760",24,"6' 0¼"""
Marsha Thomason,(2009-2014),"2,761",44,"5' 8¼"""
Josie Totah,(2018),"2,762",18,"5' 3"""
Maury Sterling,(2013),"2,763",48,"5' 6"""
Charlie Murphy,(2017-2019),"2,764",,"5' 4"""
Victor Webster,(2009),"2,765",,"6' 5"""
B.J. Novak,(2005-2013),"2,766",40,"5' 8½"""
Peter Falk,(1927–2011),"2,767",92,"5' 6"""
Daliah Lavi,(1942–2017),"2,768",77,"5' 7"""
Sara Ramirez,(2006-2020),"2,769",44,"5' 9"""
Gary Cole,(2002),"2,770",63,"6' 0"""
Clark Duke,(2013),"2,771",34,"5' 9"""
Trieste Kelly Dunn,(2006),"2,772",39,"5' 6"""
Charlie Weber,(2014-2019),"2,773",,"5' 11"""
Whoopi Goldberg,(1990),"2,774",64,"5' 5"""
Jean Smart,(2006-2007),"2,775",68,"5' 10"""
Ally Walker,(1992),"2,777",58,"5' 10"""
Lily Loveless,(2009-2013),"2,778",29,"5' 6"""
Mary McCormack,(1998),"2,779",51,"5' 8"""
Jacob Dudman,(2020),"2,780",,"5' 11"""
Peter Fonda,(1940–2019),"2,781",80,"6' 2½"""
Millie Perkins,(1987),"2,782",83,
Jessica Capshaw,(2001),"2,783",43,"5' 6"""
Dallas Roberts,(2007),"2,784",49,"5' 10½"""
Keiko Agena,(2019-2020),"2,785",46,"5' 1"""
John Hawkes,(2012),"2,786",60,"5' 9"""
Caterina Scorsone,(2014),"2,787",38,"5' 4"""
Brianna Brown,(2004),"2,788",,"5' 7"""
Jaden Smith,(2010),"2,789",21,"5' 7"""
Alexander Siddig,(1993-1999),"2,790",54,"5' 11¾"""
Karrie Martin,(2020),"2,791",,
Molly McCook,(2018-2020),"2,792",29,"5' 10"""
Rob Riggle,(2006-2015),"2,793",49,"6' 2½"""
Scott Bakula,(1989-1993),"2,794",65,"5' 11¾"""
Jihae,(2018),"2,795",,"5' 5"""
Cody Horn,(2012),"2,796",31,"5' 10½"""
Erinn Hayes,(2008-2016),"2,797",,"5' 9½"""
Richard Kind,(2015),"2,798",63,"6' 1"""
Georgina Campbell,(2014),"2,799",,"5' 6"""
Jeremy Davies,(1998),"2,800",50,"5' 9"""
Lochlyn Munro,(2017-2019),"2,801",,"5' 11"""
Golshifteh Farahani,(2016),"2,802",36,"5' 6¾"""
Lily-Rose Depp,(2014),"2,803",20,"5' 3"""
Eric Balfour,(2010-2015),"2,804",,"6' 2"""
Patrick J. Adams,(2011-2019),"2,805",38,"6' 0"""
Mark Rylance,(2015),"2,806",60,"5' 8"""
Andre Braugher,(1993-1998),"2,807",57,"6' 0"""
Ethan Peck,(2011),"2,808",34,"6' 0"""
Nicole Sullivan,(2007),"2,809",49,"5' 4½"""
Samantha Eggar,(1965),"2,810",81,"5' 7"""
Danielle Rose Russell,(2015),"2,811",20,"5' 5"""
Thomas Ian Nicholas,(2010),"2,812",39,"5' 7¼"""
Kelli Berglund,(2019),"2,813",24,"5' 4"""
Numan Acar,(2014-2020),"2,814",,"6' 0¼"""
Thomas Gibson,(1997-2002),"2,815",,"6' 2"""
Jeremy Piven,(2001),"2,816",54,"5' 9"""
Vivica A. Fox,(1996),"2,817",55,"5' 7"""
Sean Patrick Flanery,(1995),"2,818",,"5' 11"""
Alan Ritchson,(2016),"2,819",,"6' 2"""
Mark Margolis,(1998),"2,820",80,"5' 11"""
JoAnna Garcia Swisher,(2001-2007),"2,821",40,"5' 5"""
Kari Wuhrer,(2002),"2,822",52,"5' 5"""
Shad Moss,(2006),"2,823",33,"5' 7"""
Julie Graham,(2014-2019),"2,824",54,
James Coburn,(1928–2002),"2,825",91,"6' 2"""
Christopher Reeve,(1952–2004),"2,826",67,"6' 4"""
Shiva Negar,(2017),"2,827",,"5' 5"""
Jessie Ennis,(2014),"2,828",,
Brit Marling,(2011),"2,829",,"5' 8"""
Eric Christian Olsen,(2003),"2,831",42,"6' 1¼"""
Parminder Nagra,(2002),"2,832",,"5' 3"""
Cynthia Rhodes,(1987),"2,833",63,
Karen Fukuhara,(2016),"2,834",28,"5' 2"""
Oona Chaplin,(2015),"2,835",33,"5' 7"""
Chandler Riggs,(2010-2018),"2,836",20,"5' 7½"""
Fred Rogers,(1928–2003),"2,837",92,"6' 0"""
David Strathairn,(2005),"2,838",71,"5' 11½"""
Rochelle Aytes,(2008),"2,839",43,"5' 6"""
Melissa Leo,(2010),"2,840",59,"5' 4"""
America Ferrera,(2005),"2,841",35,"5' 1"""
Amber Valletta,(2009),"2,843",46,"5' 9"""
Oded Fehr,(2001),"2,844",49,"6' 1½"""
Sarah Brooks,(2015),"2,845",,"5' 9"""
Katharine Hepburn,(1907–2003),"2,846",112,"5' 7¾"""
Sarah Drew,(2003),"2,849",39,"5' 4½"""
Pauly Shore,(1996),"2,850",52,"5' 7½"""
Ariana Grande,(2013-2014),"2,851",26,"5' 2"""
Jonathan Hyde,(1997),"2,852",71,"5' 11"""
Liv Lisa Fries,(2013),"2,853",29,
Eline Powell,(2011),"2,854",29,"5' 4"""
Holly Marie Combs,(1998-2008),"2,855",46,"5' 2"""
Jackson Rathbone,(2010),"2,856",35,"5' 10¼"""
Zach Braff,(2004),"2,857",44,"6' 0"""
Rob Corddry,(2013),"2,858",49,"5' 11"""
Paula Garcés,(2011),"2,859",46,"5' 5"""
Jesse Metcalfe,(2004-2009),"2,860",41,"5' 10"""
Bai Ling,(1997),"2,861",53,"5' 3"""
Josh Holloway,(2004-2010),"2,862",50,"6' 1"""
Olga Fonda,(2015),"2,863",,"5' 6½"""
Zach Gilford,(2014),"2,864",38,"5' 8"""
Ludivine Sagnier,(2002),"2,865",40,"5' 3"""
Mageina Tovah,(2016-2020),"2,866",,"5' 10"""
Manuel Garcia-Rulfo,(2016),"2,867",39,"6' 2½"""
Mhairi Calvey,(1995),"2,868",,"5' 7"""
Leon,(1993),"2,869",,"6' 3"""
Erin Richards,(2014-2019),"2,870",,"5' 5"""
Rachel Keller,(2017-2019),"2,871",27,
Ari Graynor,(2008),"2,872",36,"5' 5"""
Barbara Bach,(1977),"2,873",72,"5' 7"""
Willa Fitzgerald,(2017),"2,874",,"5' 5"""
Susan Kelechi Watson,(2016-2020),"2,875",,"5' 8"""
Brian Thompson,(2001),"2,876",60,"6' 3"""
Amy Madigan,(1989),"2,877",69,"5' 5½"""
Marina Squerciati,(2014-2020),"2,878",,
Bill Goldberg,(1999),"2,879",53,"6' 2½"""
Vincent Regan,(2006),"2,880",54,"6' 0½"""
Michael Malarkey,(2013-2017),"2,881",,"5' 10½"""
Susannah Fielding,(2019),"2,882",,"5' 6"""
Christine Lahti,(1995-1999),"2,883",69,"5' 10"""
Alexis Arquette,(1969–2016),"2,884",50,"5' 7¾"""
Ken Watanabe,(2003),"2,885",60,"6' 1"""
Madeline Carroll,(2010),"2,886",24,"5' 4"""
Andrew Bryniarski,(1994),"2,887",51,"6' 5"""
Clint Howard,(1995),"2,888",60,"5' 7"""
Paul Reiser,(1992-1999),"2,889",62,"5' 10"""
Michael Angarano,(2005),"2,891",32,"5' 7"""
Clifton Collins Jr.,(2009),"2,892",,"5' 8"""
Wayne Diamond,(2019),"2,893",,
Dylan Minnette,(2013),"2,894",,"5' 8"""
Zach Grenier,(2020),"2,895",,"5' 9"""
Glynis Johns,(1964),"2,896",96,"5' 4"""
Francis Capra,(1993),"2,897",36,"5' 6"""
Stephanie Hsu,(2019),"2,898",,
Ginger Gonzaga,(2012),"2,899",,"5' 4"""
Joan Collins,(1981-1989),"2,900",,"5' 6¼"""
Zach Galifianakis,(2009),"2,901",50,"5' 7"""
Deborah Kara Unger,(1997),"2,902",53,"5' 7"""
Richard Kiel,(1939–2014),"2,903",80,"7' 2"""
Regina Hall,(2017),"2,904",49,"5' 4¼"""
Madison Pettis,(2018-2019),"2,905",,"4' 11"""
Jessica Amlee,(2007-2017),"2,906",25,"5' 3"""
Greg Kinnear,(1997),"2,907",56,"5' 10¼"""
Masali Baduza,(2020),"2,908",,"5' 4"""
Chord Overstreet,(2010-2015),"2,909",31,"6' 0"""
Jim Jarmusch,(2005),"2,910",67,"6' 2"""
Martin Lawrence,(1992-1997),"2,911",54,"5' 7½"""
Rowan Blanchard,(2019),"2,912",,"5' 6¾"""
Ryan O'Neal,(1970),"2,913",78,"6' 1"""
Majel Barrett,(1932–2008),"2,914",88,"5' 9"""
Daniel Lissing,(2012-2013),"2,915",,"5' 11"""
Fabiana Udenio,(1997),"2,916",,"5' 7"""
Mia Farrow,(1968),"2,917",75,"5' 4¼"""
Victor Williams,(2014-2018),"2,918",49,"6' 5½"""
Daniel J. Travanti,(1981-1987),"2,919",80,"6' 1"""
Rene Auberjonois,(1940–2019),"2,920",79,"6' 0"""
Ashleigh Cummings,(2010),"2,921",27,
Rita Hayworth,(1918–1987),"2,923",101,"5' 6"""
Richard Stanley,(1990),"2,924",53,"5' 11"""
Margo Martindale,(2013),"2,925",68,"5' 5½"""
Annette Funicello,(1942–2013),"2,926",77,"5' 1"""
Richard Harrington,(2013-2016),"2,927",45,"5' 10"""
Athena Karkanis,(2007),"2,928",,"5' 7"""
Ser'Darius Blain,(2017),"2,929",,"6' 4"""
Tim Allen,(1995),"2,930",66,"5' 10½"""
Lachlan Watson,(2018-2020),"2,931",,"5' 2"""
Colm Meaney,(1997),"2,932",66,"5' 11"""
Dale Dickey,(2016),"2,933",,"5' 5"""
Jake McDorman,(2014),"2,934",33,"6' 0"""
Orson Welles,(1915–1985),"2,935",104,"6' 0¼"""
Georgina Chapman,(2005),"2,936",43,"5' 10½"""
Donnie Wahlberg,(2005),"2,937",50,"5' 10"""
