name,year,rank,age,height
Matt Damon,(1997),126,49,"5' 10"""
Lela Loren,(2014-2020),127,,"5' 4¾"""
Pedro Pascal,(2014),128,44,"5' 11"""
Amber Heard,(2018),129,33,"5' 7"""
Will Smith,(1990-1996),130,51,"6' 2"""
Sam Rockwell,(2009),131,51,"5' 8"""
Yvonne Strahovski,(2012-2013),132,,"5' 9½"""
Rachel Brosnahan,(2013-2015),133,29,"5' 3½"""
Emilia Clarke,(2011-2019),134,33,"5' 2"""
Jolene Blalock,(2001-2005),135,,"5' 6"""
Jim Carrey,(2003),136,58,"6' 2¼"""
Clint Eastwood,(1992),137,89,"6' 4"""
Victoria Pedretti,(2018-2020),138,,
Al Pacino,(1973),139,79,"5' 7"""
Kate Beckinsale,(2006),140,46,"5' 7"""
Chris Conner,(2018-2020),141,,"5' 8"""
Talulah Riley,(2016-2018),142,34,"5' 8¼"""
Lulu Wilson,(2017),143,14,"5' 0"""
Melissa Roxburgh,(2016),144,,"5' 5"""
Charlize Theron,(2003),145,44,"5' 9½"""
Millie Bobby Brown,(2016-2021),146,16,"5' 4"""
Stephanie Beran,(2019),147,,"5' 4"""
Brie Larson,(2015),148,,"5' 8½"""
Hailee Steinfeld,(2010),149,23,"5' 8"""
Cynthia Erivo,(2018),150,33,"5' 0½"""
Morena Baccarin,(2016),151,40,"5' 7½"""
Rainey Qualley,(2018),152,,"5' 6½"""
Natalie Zea,(2010-2015),153,45,"5' 5"""
Madison Iseman,(2017),154,23,"5' 2"""
Ksenia Solo,(2010),155,,"5' 4"""
Ryan Reynolds,(2018),156,43,"6' 2"""
Chris Evans,(2012),157,38,"6' 0"""
Linda Cardellini,(2002),158,44,"5' 3"""
Quentin Tarantino,(1992),159,56,"6' 1"""
Chris Pratt,(2014),160,40,"6' 2"""
Elizabeth Banks,(2012),161,46,"5' 4¾"""
Joaquin Phoenix,(2013),162,45,"5' 8¼"""
Oliver Jackson-Cohen,(2010),163,33,"6' 3"""
Mia Goth,(2018),164,26,"5' 9¾"""
Keira Knightley,(2003),165,34,"5' 7"""
Dave Annable,(2011),166,40,"5' 10"""
Gal Gadot,(2017),167,,"5' 10¼"""
Lucy DeVito,(2014-2015),168,,"4' 11"""
Alicia Vikander,(2014),169,31,"5' 6"""
Amy Adams,(2016),170,45,"5' 4"""
Pete Davidson,(2019),171,26,"6' 1"""
Arielle Kebbel,(2009),172,35,"5' 8"""
Awkwafina,(2018),173,,"5' 1"""
Simone Missick,(2019-2020),174,,"5' 4"""
Asa Butterfield,(2011),175,22,"6' 0"""
Anna Kendrick,(2009),176,34,"5' 2"""
Marina Sirtis,(1994),177,64,"5' 3"""
K.J. Apa,(2017-2020),178,22,"5' 11"""
Lindsey Morgan,(2014-2020),179,30,"5' 5"""
Anne Hathaway,(2012),180,37,"5' 8"""
Margaret Qualley,(2019),181,25,"5' 8"""
Malina Weissman,(2017-2019),182,,"5' 4"""
Tessa Thompson,(2015),183,36,"5' 4"""
Robert Pattinson,(2008),184,33,"6' 1"""
Jaime Murray,(2007),185,,"5' 7"""
Emile Hirsch,(2007),186,35,"5' 7"""
Ben Schwartz,(2010-2015),187,,"6' 0"""
Dave Bautista,(2014),188,51,"6' 6"""
Emma Roberts,(2013),189,29,"5' 2"""
Shannon Tweed,(1999),190,63,"5' 10"""
Bex Taylor-Klaus,(2016-2018),191,25,"5' 3½"""
Shia LaBeouf,(2019),192,33,"5' 9½"""
Gustaf Skarsgård,(2013-2019),193,39,"6' 4"""
Eva Green,(2006),194,39,"5' 7"""
Adam Sandler,(1998),195,53,"5' 9¾"""
Saoirse Ronan,(2011),196,25,"5' 6"""
Carol Kane,(1987),197,67,"5' 2"""
Dominick Brascia,(1957–2018),198,62,
Sasha Luss,(2019),199,,"5' 10½"""
Chuck Norris,(1993-2001),200,80,"5' 8"""
Mandy Moore,(2002),201,35,"5' 10"""
Julia Fox,(2019),202,,
Austin Butler,(2021),203,28,"6' 0"""
Barry Corbin,(2007),204,79,"5' 11"""
Robert Downey Jr.,(2008),205,54,"5' 8¾"""
Theo James,(2014),206,35,"6' 0"""
Dakota Fanning,(2005),207,26,"5' 4"""
Kristen Stewart,(2011),208,29,"5' 5"""
Kaitlin Olson,(2016),210,44,"5' 7½"""
Kaitlyn Dever,(2019),211,23,"5' 3"""
Tiffany Boone,(2013),212,32,"5' 2"""
Maite Perroni,(2019),213,37,"5' 2"""
Haley Lu Richardson,(2019),214,25,"5' 2"""
Alexandra Breckenridge,(2011-2013),215,,"5' 7½"""
Charlie Hunnam,(2008-2014),216,39,"6' 0"""
Natalie Portman,(2010),217,38,"5' 3"""
Jennifer Aniston,(1994-2004),218,51,"5' 4¾"""
Rosamund Pike,(2014),219,41,"5' 8½"""
Ruby Rose,(2015-2016),220,,"5' 7"""
Will Yun Lee,(2018-2020),221,,"5' 9"""
Torben Liebrecht,(2018),222,42,"6' 1¼"""
Ethan Suplee,(1998),223,43,"6' 1"""
Gemma Arterton,(2010),224,34,"5' 7"""
Isabela Merced,(2017),225,18,"5' 1"""
Julianne Nicholson,(2013),226,48,"5' 9"""
Annabeth Gish,(1988),227,49,"5' 8"""
Tobias Menzies,(2006),228,46,"6' 1"""
María Pedraza,(2017-2018),229,,
Wei Zhao,(2009),230,44,"5' 5½"""
Emma Stone,(2016),231,31,"5' 6"""
Michelle Monaghan,(2005),232,43,"5' 7"""
Katherine Heigl,(2012),233,41,"5' 9"""
Matthew McConaughey,(2013),234,50,"5' 11¾"""
Madeleine Arthur,(2014),235,,"5' 4"""
Chris Hemsworth,(2012),236,36,"6' 3"""
Kristen Bell,(2013),237,39,"5' 1"""
Emilia Jones,(2016),238,,"5' 3"""
Kate Mulvany,(2020),239,,"5' 2"""
Zendaya,(2017),240,23,"5' 8"""
Lindsey McKeon,(2006-2014),241,,"5' 5"""
